post_id,post_type,likes,comments,shares,date_shared,day_of_week,hashtags
120,Static Image,516,25,38,27-12-2024,Friday," #architecture,#contentcreator,#photography,#popular"
121,Static Image,317,85,13,28-12-2024,Saturday," #pets,#instagood,#randomthoughts,#contentcreator"
122,Carousel,357,56,65,29-12-2024,Sunday," #pets,#contentcreator,#architecture"
123,Reel,196,305,105,30-12-2024,Monday,"#trending,#growth, #fashion,#books"
124,Carousel,442,87,41,31-12-2024,Tuesday," #cityscape,#photography,#popular"
125,Reel,66,153,188,01-12-2024,Sunday," #beach,#growth,#trending,#books"
126,Carousel,348,28,11,02-12-2024,Monday," #memes,#instagood,#funny"
127,Reel,150,200,268,03-12-2024,Tuesday," #weekend,#minimalism,#contentcreator"
128,Static Image,472,70,50,04-12-2024,Wednesday,"#art,#viral, #progress"
129,Static Image,362,76,32,05-12-2024,Thursday,"#socialmedia,#marketing,#wellness, #beach,#growth"
130,Static Image,141,26,43,06-12-2024,Friday,"#viral,#music, #workout"
131,Carousel,409,143,42,07-12-2024,Saturday,"#socialmedia,#viral, #nature,#design"
132,Static Image,477,65,23,08-12-2024,Sunday,"#popular,#cityscape, #aesthetic"
133,Static Image,134,80,25,09-12-2024,Monday,"#socialmedia,#viral, #fashion,#night"
134,Reel,160,179,176,10-12-2024,Tuesday," #design,#growth,#contentcreator,#landscape"
135,Carousel,536,106,19,11-12-2024,Wednesday," #wildlife,#viral,#sunset,#trending"
136,Carousel,514,87,29,12-12-2024,Thursday,"#socialmedia, #style,#dance,#popular,#growth"
137,Static Image,549,86,8,13-12-2024,Friday,"#instagood, #style,#popular,#catvideo,#growth"
138,Reel,151,447,278,14-12-2024,Saturday,"#trending,#marketing, #foodie,#growth,#aesthetic"
139,Reel,148,230,167,15-12-2024,Sunday," #wildlife,#trending,#sunset"
140,Carousel,302,94,38,16-12-2024,Monday,"#viral,#catvideo,#trending, #cityscape"
141,Static Image,464,10,42,17-12-2024,Tuesday," #night,#trending,#nature"
142,Static Image,315,64,11,18-12-2024,Wednesday," #architecture,#popular,#contentcreator,#wellness"
143,Reel,179,213,144,19-12-2024,Thursday,"#motivation,#marketing, #trend"
144,Static Image,544,89,12,20-12-2024,Friday,"#motivation,#contentcreator,#marketing, #catvideo"
145,Carousel,582,129,33,21-12-2024,Saturday,"#trending,#popular,#dance, #workout"
146,Static Image,618,79,10,22-12-2024,Sunday," #art,#contentcreator,#views"
147,Carousel,498,142,29,23-12-2024,Monday,"#marketing,#popular,#books, #trend"
148,Static Image,615,54,17,24-12-2024,Tuesday,"#randomthoughts,#popular,#viral, #books,#growth"
149,Reel,85,166,199,25-12-2024,Wednesday," #selfcare,#contentcreator,#dance,#growth"
150,Carousel,570,24,68,26-12-2024,Thursday,"#growth,#marketing, #dance,#photography"
151,Reel,166,375,197,27-12-2024,Friday,"#trending,#marketing,#adventure,#popular, #trend"
152,Reel,184,156,245,28-12-2024,Saturday," #wildlife,#instagood,#architecture"
153,Static Image,164,61,17,29-12-2024,Sunday,"#socialmedia, #style,#contentcreator,#viral,#books"
154,Carousel,439,139,19,30-12-2024,Monday,"#progress,#socialmedia,#trending, #sunset,#viral"
155,Reel,128,428,169,31-12-2024,Tuesday,"#viral,#marketing,#adventure, #books"
156,Carousel,262,92,59,01-12-2024,Sunday,"#beach,#viral, #wellness"
157,Carousel,539,74,62,02-12-2024,Monday,"#growth, #challenge,#instagood,#adventure"
158,Static Image,544,6,16,03-12-2024,Tuesday,"#motivation,#growth, #aesthetic"
159,Reel,157,178,144,04-12-2024,Wednesday," #adventure,#goals,#contentcreator"
160,Carousel,316,85,12,05-12-2024,Thursday,"#socialmedia,#marketing,#nature,#popular, #trend"
161,Carousel,398,96,11,06-12-2024,Friday," #flowers,#trending,#recipe"
162,Reel,58,385,203,07-12-2024,Saturday," #memes,#views,#popular"
163,Reel,184,245,129,08-12-2024,Sunday," #books,#popular,#growth,#memes"
164,Static Image,405,95,26,09-12-2024,Monday,"#viral, #pets,#workout"
165,Reel,194,363,110,10-12-2024,Tuesday,"#contentcreator,#popular, #sunset,#viral,#views"
166,Reel,77,182,94,11-12-2024,Wednesday,"#viral,#flowers, #travel,#contentcreator"
167,Static Image,347,66,15,12-12-2024,Thursday,"#instagood,#funnyfails, #adventure,#popular"
168,Carousel,481,134,54,13-12-2024,Friday,"#art, #foodie,#contentcreator"
169,Carousel,569,149,14,14-12-2024,Saturday,"#viral, #recipe,#challenge"
170,Reel,89,372,255,15-12-2024,Sunday," #flowers,#contentcreator,#socialmedia,#aesthetic"
171,Reel,169,248,243,16-12-2024,Monday,"#trending, #photography,#contentcreator,#cityscape,#popular"
172,Carousel,367,130,55,17-12-2024,Tuesday,"#minimalism,#marketing, #randomthoughts"
173,Reel,133,177,234,18-12-2024,Wednesday,"#viral, #bloom,#wildlife,#socialmedia"
174,Reel,131,171,56,19-12-2024,Thursday,"#trending,#instagood, #style,#popular,#books"
175,Static Image,370,18,18,20-12-2024,Friday,"#socialmedia,#views, #relax"
176,Carousel,315,102,62,21-12-2024,Saturday," #quotes,#marketing,#socialmedia,#adventure"
177,Static Image,650,28,16,22-12-2024,Sunday,"#progress, #landscape,#marketing,#socialmedia"
178,Static Image,643,95,4,23-12-2024,Monday,"#trending, #cute,#challenge,#popular"
179,Reel,97,190,248,24-12-2024,Tuesday,"#bloom,#growth, #pets"
180,Carousel,350,56,70,25-12-2024,Wednesday," #goals,#bloom,#instagood"
181,Static Image,225,88,6,26-12-2024,Thursday," #foodie,#pets,#marketing"
182,Reel,71,137,89,27-12-2024,Friday,"#workout,#growth, #fitness"
183,Reel,52,430,259,28-12-2024,Saturday," #architecture,#trending,#pets"
184,Carousel,272,120,76,29-12-2024,Sunday,"#beach,#instagood, #bloom"
185,Reel,58,263,264,30-12-2024,Monday," #sunset,#minimalism,#instagood"
186,Reel,158,312,146,31-12-2024,Tuesday," #viral,#contentcreator,#goals"
187,Reel,56,426,92,01-12-2024,Sunday," #wildlife,#socialmedia,#cute"
188,Carousel,596,79,58,02-12-2024,Monday,"#contentcreator,#cityscape, #workout"
189,Reel,117,104,145,03-12-2024,Tuesday,"#bloom,#popular,#viral, #books,#growth"
190,Reel,103,311,261,04-12-2024,Wednesday,"#pets,#contentcreator,#growth, #aesthetic"
191,Carousel,483,31,77,05-12-2024,Thursday,"#viral, #foodie,#growth"
192,Static Image,211,51,40,06-12-2024,Friday,"#instagood,#trending,#viral, #wildlife,#views"
193,Reel,110,113,86,07-12-2024,Saturday," #aesthetic,#socialmedia,#quotes"
194,Carousel,327,30,75,08-12-2024,Sunday,"#art, #flowers,#trending,#popular"
195,Static Image,265,81,12,09-12-2024,Monday,"#trending,#music, #funnyfails,#popular"
196,Reel,64,481,95,10-12-2024,Tuesday,"#viral, #travel,#memes"
197,Static Image,585,91,37,11-12-2024,Wednesday,"#instagood, #flowers,#popular,#views,#growth"
198,Carousel,497,130,12,12-12-2024,Thursday," #viral,#instagood,#selfcare,#contentcreator"
199,Carousel,489,21,30,13-12-2024,Friday,"#fashion,#contentcreator, #reading"
200,Static Image,177,67,27,14-12-2024,Saturday,"#contentcreator,#fitness,#growth, #books"
